iso3,country_name,income_group,is_current_donor,gdp_usd,gdp_per_capita_usd,fiscal_balance_pct_gdp,govt_debt_pct_gdp,ida20_contribution_usd,ida21_contribution_usd
QAT,Qatar,HIC,0,219162637362.637,76688.6941743178,,41.5,,
ROU,Romania,HIC,0,382564217988.866,20080.2096215595,-6.593267902166399,52.2,,
RUS,Russian Federation,HIC,0,2173835806671.66,14889.0185546875,-1.6142646349271992,,,
SAU,Saudi Arabia,HIC,1,1239804533333.33,35121.6628687742,2.8624583022292995,26.2,350000000.0,400000000.0
SGP,Singapore,HIC,1,547386645891.847,90674.066632628,1.2490436177786002,167.9,48000000.0,55000000.0
SMR,San Marino,HIC,0,2027527227.831,59879.7173015651,0.7559377156497007,,,
SVK,Slovak Republic,HIC,0,140934076532.375,25992.6748502048,-0.4416756439993037,56.0,,
SVN,Slovenia,HIC,0,72972015197.3859,34301.0318686594,0.6510944816720041,69.0,,
SWE,Sweden,HIC,1,603715224265.798,57117.4877440616,0.5601723728327954,31.7,455000000.0,490000000.0
SXM,Sint Maarten (Dutch part),HIC,0,1797836665.95136,41472.5874498583,,,,
SYC,Seychelles,HIC,0,2167239562.46013,17858.8226383978,,,,
TCA,Turks and Caicos Islands,HIC,0,1745378000.0,37506.7798431288,,,,
TTO,Trinidad and Tobago,HIC,0,25633544529.4849,18733.4110406494,-9.053429455959396,,,
URY,Uruguay,HIC,0,80961511073.5797,23906.5133029408,-5.910030013018805,60.2,,
USA,United States,HIC,1,28750956130731.2,84534.0407841548,-6.7803059709363005,122.1,3850000000.0,4050000000.0
VIR,Virgin Islands (U.S.),HIC,0,4672000000.0,44320.909185774,,,,
AFG,Afghanistan,LIC,0,17152234636.8715,413.757894705303,,,,
BDI,Burundi,LIC,0,3082433067.32634,219.424830882698,1.9619005019367002,,,
BFA,Burkina Faso,LIC,0,23124729853.0218,981.992649769081,1.841580888447801,,,
CAF,Central African Republic,LIC,0,2751494281.06887,516.160999996036,-2.4566105801187703,,,
COD,"Congo, Dem. Rep.",LIC,0,70962185790.7094,649.383338556725,0.7864853773233005,,,
ETH,Ethiopia,LIC,0,149740297952.986,1133.88279681719,-2.0495460876464096,37.8,,
GMB,"Gambia, The",LIC,0,2404888749.21907,871.340291776294,,,,
GNB,Guinea-Bissau,LIC,0,2218393804.54798,1007.74151728028,-5.015477331622099,,,
LBR,Liberia,LIC,0,4779300900.0,851.497723870206,,,,
MDG,Madagascar,LIC,0,17420501490.1231,544.987501003384,1.1916470159324,,,
MLI,Mali,LIC,0,26794747239.8805,1094.61949265799,0.42640411470659956,,,
MOZ,Mozambique,LIC,0,22745341305.0622,656.776824637306,-1.4812176126795968,,,
MWI,Malawi,LIC,0,11316411329.4619,522.570393642547,-6.037669542037602,,,
NER,Niger,LIC,0,19876128485.7857,735.270255787226,,,,
RWA,Rwanda,LIC,0,14251642235.0968,999.65456165547,0.7263614112508989,,,
SDN,Sudan,LIC,0,49672435513.1126,984.607666015625,,,,
SLE,Sierra Leone,LIC,0,6971127235.3123,806.654650417726,,,,
SOM,"Somalia, Fed. Rep.",LIC,0,11967000000.0,629.538899449007,-3.25621703570559,,,
SYR,Syrian Arab Republic,LIC,0,23622827079.5047,1051.67149587463,,,,
TCD,Chad,LIC,0,19518819751.283,961.55975562506,,,,
TGO,Togo,LIC,0,10651180146.531,1119.38160509429,-0.36626145183250003,,,
UGA,Uganda,LIC,0,53911907086.1525,1077.91278452817,-2.5387712274207015,,,
YEM,"Yemen, Rep.",LIC,0,21606160663.0318,633.887202451545,,,,
AGO,Angola,LMC,0,100998916781.079,2665.87444776753,3.9586733405309005,,,
BEN,Benin,LMC,0,21482643706.4249,1485.38018885134,,,,
BGD,Bangladesh,LMC,0,450119432068.852,2593.41611680774,1.2145620105974402,39.5,,
BOL,Bolivia,LMC,0,54881327452.9667,4421.16609889999,,,,
BTN,Bhutan,LMC,0,3012896789.24928,3831.32535494609,-4.047676623528201,,,
CIV,Cote d'Ivoire,LMC,0,87113179149.284,2727.8935220697,-4.513107302219002,,,
CMR,Cameroon,LMC,0,53296694320.2057,1830.00833684727,1.3200256296043005,,,
COG,"Congo, Rep.",LMC,0,15719986076.6464,2482.2489948456,3.9192747208957,,,
COM,Comoros,LMC,0,1440991455.45188,1662.75663312504,,,,
DJI,Djibouti,LMC,0,4152145939.98458,3552.72335079222,,,,
EGY,"Egypt, Arab Rep.",LMC,0,389059911003.566,3338.47371395895,,92.7,,
FSM,"Micronesia, Fed. Sts.",LMC,0,471425099.488675,4166.00476748564,6.278249413805899,,,
GHA,Ghana,LMC,0,82308110386.4641,2390.77237652715,-7.656728713689798,84.9,,
GIN,Guinea,LMC,0,25008678293.4084,1694.95375862193,,,,
HND,Honduras,LMC,0,37093565854.0437,3426.43483328923,-2.182536678355799,,,
HTI,Haiti,LMC,0,25224154990.7946,2142.62330526788,,,,
IND,India,LMC,0,3909891533858.08,2694.73780859961,-4.22340000530704,83.9,,
JOR,Jordan,LMC,0,53352289577.4648,4618.09592498567,-5.1906636799453985,,,
KEN,Kenya,LMC,0,120339557905.932,2132.43452097647,-9.2058116697851,72.5,,
KGZ,Kyrgyz Republic,LMC,0,17478259659.2625,2420.18542283831,7.907524027108,,,
KHM,Cambodia,LMC,0,46352647037.2406,2627.87969756224,0.8097183929248999,,,
KIR,Kiribati,LMC,0,307862564.489711,2288.63471423684,-3.489947732878491,,,
LAO,Lao PDR,LMC,0,16502933121.3379,2123.97909415109,3.5979643606683,,,
LBN,Lebanon,LMC,0,20078620356.9931,3477.72489842684,7.15456181793138,,,
LKA,Sri Lanka,LMC,0,98963185509.6499,4515.56787322732,-6.994455041342402,,,
LSO,Lesotho,LMC,0,2271759454.51107,971.90771824829,4.003263815024297,,,
MAR,Morocco,LMC,0,160610994054.734,4153.1943359375,-0.4589068909242009,69.7,,
MMR,Myanmar,LMC,0,74068349523.8095,1359.05001560107,0.6136763547275006,,,
MRT,Mauritania,LMC,0,10908045686.8808,2110.12036938187,,,,
NAM,Namibia,LMC,0,13372354511.716,4413.12752211572,-0.9468535712367014,,,
NGA,Nigeria,LMC,0,252261880141.151,1084.16041805436,,37.7,,
NIC,Nicaragua,LMC,0,19693982967.5926,2847.53966339498,5.239978954407,,,
NPL,Nepal,LMC,0,42914268286.7109,1447.31004458428,-2.9082075748431,,,
PAK,Pakistan,LMC,0,371570000121.266,1478.77277977996,,74.9,,
PHL,Philippines,LMC,0,461617509782.355,3984.8315387656,-0.18542752410029806,60.2,,
PNG,Papua New Guinea,LMC,0,31800428265.5246,3006.70564478923,-3.462733328809801,,,
PSE,West Bank and Gaza,LMC,0,13711100000.0,2592.30591217647,,,,
SEN,Senegal,LMC,0,32808056600.9436,1773.21829923448,0.6106899753859025,,,
SLB,Solomon Islands,LMC,0,1583964703.75061,1933.55538435227,-4.2631117740783,,,
STP,Sao Tome and Principe,LMC,0,822154621.088897,3490.56883486557,,,,
SWZ,Eswatini,LMC,0,4858885840.77236,3909.55892378182,0.4724619698530006,,,
TJK,Tajikistan,LMC,0,14204575548.5536,1341.20229027672,7.961311987448999,,,
TLS,Timor-Leste,LMC,0,1865608515.41321,1331.9705130185,-1.0259776290530027,,,
TUN,Tunisia,LMC,0,51332285656.5422,4181.13789301228,,79.8,,
TZA,Tanzania,LMC,0,78844405385.2195,1186.71691894531,-1.8729173412618003,,,
UZB,Uzbekistan,LMC,0,114965293466.611,3161.70010632875,-3.1260934026989986,,,
VNM,Viet Nam,LMC,0,476388230307.175,4717.29028732449,,34.0,,
VUT,Vanuatu,LMC,0,1117972034.22642,3410.77023167097,-2.6075750603777976,,,
ZMB,Zambia,LMC,0,25303185342.2511,1187.10943350064,-3.1696983488523003,,,
ZWE,Zimbabwe,LMC,0,41539411516.4448,2497.20332208763,-2.860325982579159,,,
ALB,Albania,UMC,0,27046429296.6673,11377.7757431099,0.6805512813395005,,,
ARG,Argentina,UMC,0,638365455340.04,13969.7836603737,-4.148093425328401,89.4,,
ARM,Armenia,UMC,0,25955275380.0321,8556.21406956719,3.193753983811,47.8,,
AZE,Azerbaijan,UMC,0,74315882352.9412,7283.8499076179,16.771736669933702,20.1,,
BIH,Bosnia and Herzegovina,UMC,0,29613572022.8993,9358.78768951134,2.5002692455989006,,,
BLR,Belarus,UMC,0,75961865471.9129,8317.63399913792,0.652344241557099,,,
BLZ,Belize,UMC,0,3203631800.0,7681.24400583113,,,,
BRA,Brazil,UMC,0,2185821648943.86,10310.5488778166,-5.984166131610699,88.1,,
BWA,Botswana,UMC,0,19402063512.9066,7695.75319445165,1.8045717717910001,,,
CHN,China,UMC,0,18743803170827.2,13303.1481543868,,83.6,,
COL,Colombia,UMC,0,418818154879.271,7919.20886825345,-7.3831103993910965,59.6,,
CPV,Cabo Verde,UMC,0,2725414150.72735,5192.48157325878,-9.3150353303776,,,
CUB,Cuba,UMC,0,107352000000.0,9605.27914559614,,,,
DMA,Dominica,UMC,0,688881481.481481,10405.2787777582,,,,
DOM,Dominican Republic,UMC,0,124282245638.568,10875.6618443092,-0.5703352237649,56.8,,
DZA,Algeria,UMC,0,269322281664.773,5752.99076651465,,,,
ECU,Ecuador,UMC,0,124676074700.0,6874.705739766,0.5259422152125985,55.2,,
FJI,Fiji,UMC,0,5968125909.27126,6425.74151715712,-1.1440580114483012,,,
GAB,Gabon,UMC,0,20895684425.6752,8230.04311451151,1.0629538651702006,,,
GEO,Georgia,UMC,0,34189423544.9955,9241.49122313713,3.4663503857825972,39.9,,
GNQ,Equatorial Guinea,UMC,0,12765777677.0622,6745.40013244916,15.4045836158043,,,
GRD,Grenada,UMC,0,1371918518.51852,11705.0902976658,,,,
GTM,Guatemala,UMC,0,113199581158.203,6150.02571438505,-0.7219718827659989,27.9,,
IDN,Indonesia,UMC,0,1396300098190.97,4925.43048751861,,39.4,,
IRN,"Iran, Islamic Rep.",UMC,0,475252089215.416,5190.16959024821,,,,
IRQ,Iraq,UMC,0,279641257615.385,6073.61032342708,10.991694229441698,,,
JAM,Jamaica,UMC,0,22014397089.7689,7753.8006955432,-0.5302279825734999,,,
KAZ,Kazakhstan,UMC,0,291480274648.826,14154.6324958076,-0.9091275912713996,24.0,,
LBY,Libya,UMC,0,48487151215.345,6569.16408678648,,,,
LCA,St. Lucia,UMC,0,2549062962.96296,14181.6303351598,,,,
MDA,Moldova,UMC,0,18200340853.6517,7576.19589413326,-5.070662245645998,,,
MDV,Maldives,UMC,0,7061608267.25451,13379.3513577224,-4.696859999485103,,,
MEX,Mexico,UMC,0,1856365616165.94,14185.7812248529,-3.2478596127978,54.0,,
MHL,Marshall Islands,UMC,0,290108489.990234,7726.33668877794,-28.1660886943155,,,
MKD,North Macedonia,UMC,0,16951682245.4202,9291.85661671864,-4.001679982682603,,,
MNE,Montenegro,UMC,0,8270016670.86774,13263.3281277699,,,,
MNG,Mongolia,UMC,0,23794540024.5132,6750.6301157724,-0.0877476763375995,,,
MUS,Mauritius,UMC,0,14937861786.17,11990.7798944837,-4.434838126716702,,,
MYS,Malaysia,UMC,0,422227005428.688,11874.4273684245,-0.20918369635320033,66.8,,
PER,Peru,UMC,0,289221969062.941,8452.37167056621,-2.169569255710698,33.7,,
PRY,Paraguay,UMC,0,44458118397.4445,6416.09708970845,-0.16802178257820088,42.8,,
SLV,El Salvador,UMC,0,35364960000.0,5579.65969165029,-0.7950006124201003,,,
SRB,Serbia,UMC,0,90097765959.1114,13679.2065983557,3.187233617665804,,,
SUR,Suriname,UMC,0,4416775112.09627,6961.78955961526,,,,
THA,Thailand,UMC,0,526517658841.684,7346.62022142185,-0.4201458843194992,62.6,,
TKM,Turkmenistan,UMC,0,51387209872.2994,6856.65802730208,,,,
TON,Tonga,UMC,0,591139749.44287,5651.59373063157,-12.013023026711398,,,
TUR,Turkiye,UMC,0,1359123768774.12,15892.7157287241,-1.5458663567586015,31.2,,
TUV,Tuvalu,UMC,0,62280311.5852172,6344.7750188689,,,,
UKR,Ukraine,UMC,0,190741262414.705,5389.47314453125,-31.889311655569095,88.1,,
VCT,St. Vincent and the Grenadines,UMC,0,1157207407.40741,11501.2265187188,,,,
VEN,"Venezuela, RB",UMC,0,119802963257.783,4217.59102643391,,,,
WSM,Samoa,UMC,0,1175749785.65113,5392.87761915762,4.039327269093498,,,
XKX,Kosovo,UMC,0,11197246322.588,7023.06598512878,,,,
ZAF,South Africa,UMC,0,401144998373.585,6267.186814093,-3.614996135289797,73.4,,
