iso3,country_name,income_group,gdp_usd,actual_contribution_usd,adjusted_target_usd,gap_usd,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr,unga_alignment_score,wb_vote_share_score,ifc_presence_score,alignment_score,excluded_components
CHL,Chile,HIC,330267137371.592,0.0,3470161.5365242376,3470161.5365242376,0.0,0.11866898156506256,222247578.85311526,3470161.5365242376,Low Probability,1.6724851967264183,,0.0,100,50.0,unga_alignment_score
PHL,Philippines,LMC,461617509782.355,0.0,3404913.697786493,3404913.697786493,0.0,0.08330608409163281,209087167.42215893,3404913.697786493,Low Probability,1.8399031400893187,,0.0,100,50.0,unga_alignment_score
IRN,"Iran, Islamic Rep.",UMC,475252089215.416,0.0,3263259.755424967,3263259.755424967,0.0,0.07754976675300676,206860360.5469029,3263259.755424967,Low Probability,1.8723863325388221,,0.0,0,0.0,unga_alignment_score
COL,Colombia,UMC,418818154879.271,0.0,3115653.601105465,3115653.601105465,0.0,0.08401881524329735,169925948.12362447,3115653.601105465,Low Probability,1.8360090104451934,,0.0,100,50.0,unga_alignment_score
ZAF,South Africa,UMC,401144998373.585,0.0,3108183.459478533,3108183.459478533,0.0,0.08751009372408503,179485654.83895308,3108183.459478533,Low Probability,1.8173109579172624,,0.0,100,50.0,unga_alignment_score
QAT,Qatar,HIC,219162637362.637,0.0,2921041.31510131,2921041.31510131,0.0,0.1505303485659512,138038965.0546076,2921041.31510131,Low Probability,1.5525629598504158,,0.0,0,0.0,unga_alignment_score
KAZ,Kazakhstan,UMC,291480274648.826,0.0,2710473.9439738244,2710473.9439738244,0.0,0.10502409606550478,159656034.93491098,2710473.9439738244,Low Probability,1.73165894318311,,0.0,100,50.0,unga_alignment_score
MAC,"Macao SAR, China",HIC,49467258923.3244,0.0,2534675.902930203,2534675.902930203,0.0,0.20383381072244589,64817169.43169849,2534675.902930203,Emerging Prospect,1.3891826169250918,,0.0,0,0.0,unga_alignment_score
EGY,"Egypt, Arab Rep.",LMC,389059911003.566,0.0,2420705.3222927395,2420705.3222927395,0.0,0.07027135495356569,168789926.5666222,2420705.3222927395,Low Probability,1.916401127224467,,0.0,100,50.0,unga_alignment_score
BGD,Bangladesh,LMC,450119432068.852,0.0,2385722.281298963,2385722.281298963,0.0,0.059861143682994264,181476415.58159935,2385722.281298963,Low Probability,1.986380258769946,,0.0,100,50.0,unga_alignment_score
PER,Peru,UMC,289221969062.941,0.0,2296940.6729433658,2296940.6729433658,0.0,0.08969565077218328,143815933.3777552,2296940.6729433658,Low Probability,1.8059101330389589,,0.0,100,50.0,unga_alignment_score
IRQ,Iraq,UMC,279641257615.385,0.0,2076249.8350947718,2076249.8350947718,0.0,0.083855441530229,173389094.9982647,2076249.8350947718,Low Probability,1.8368992613997301,,0.0,0,0.0,unga_alignment_score
DZA,Algeria,UMC,269322281664.773,0.0,1870749.7461046937,1870749.7461046937,0.0,0.07845060469824455,132418962.15594704,1870749.7461046937,Low Probability,1.86717619191621,,0.0,0,0.0,unga_alignment_score
PAK,Pakistan,LMC,371570000121.266,0.0,1733161.8598447442,1733161.8598447442,0.0,0.05268067929456283,143554703.36298412,1733161.8598447442,Low Probability,2.0407977522172427,,0.0,100,50.0,unga_alignment_score
PRI,Puerto Rico (US),HIC,126029527033.705,0.0,1593774.4963789678,1593774.4963789678,0.0,0.14282605876385862,96770204.18768495,1593774.4963789678,Low Probability,1.5796269811572998,,0.0,0,0.0,unga_alignment_score
BGR,Bulgaria,HIC,113343355779.985,0.0,1567141.643720079,1567141.643720079,0.0,0.15615829918350976,16417365.918883545,1567141.643720079,Low Probability,1.5334493460808651,,0.0,100,50.0,unga_alignment_score
MLT,Malta,HIC,24971574502.4475,0.0,1544844.6006574447,1544844.6006574447,0.0,0.24609937272859955,8522416.535260953,1544844.6006574447,Emerging Prospect,1.2804650000631415,,0.0,0,0.0,unga_alignment_score
UKR,Ukraine,UMC,190741262414.705,0.0,1481313.6511149057,1481313.6511149057,0.0,0.08771124146856368,58794206.67373233,1481313.6511149057,Low Probability,1.8162521557336857,,0.0,100,50.0,unga_alignment_score
OMN,Oman,HIC,107137198769.386,0.0,1365113.3205117416,1365113.3205117416,0.0,0.1439067956857935,74384728.11722395,1365113.3205117416,Low Probability,1.5757645260916708,,0.0,0,0.0,unga_alignment_score
MAR,Morocco,LMC,160610994054.734,0.0,1333112.6270172468,1333112.6270172468,0.0,0.09374421087353335,94978461.30033845,1333112.6270172468,Low Probability,1.7853685817490967,,0.0,100,50.0,unga_alignment_score
CUB,Cuba,UMC,107352000000.0,0.0,1156536.2292018665,1156536.2292018665,0.0,0.12167517725877758,78545972.06433071,1156536.2292018665,Low Probability,1.6601726680747528,,0.0,0,0.0,unga_alignment_score
DOM,Dominican Republic,UMC,124282245638.568,0.0,1065679.9097917213,1065679.9097917213,0.0,0.096843521296536,78505489.27607353,1065679.9097917213,Low Probability,1.7701187655462776,,0.0,100,50.0,unga_alignment_score
SRB,Serbia,UMC,90097765959.1114,0.0,1018432.354497001,1018432.354497001,0.0,0.12766476528285464,74616194.54084079,1018432.354497001,Low Probability,1.6363307284407123,,0.0,0,0.0,unga_alignment_score
CRI,Costa Rica,HIC,95350423176.5962,0.0,999106.7057158184,999106.7057158184,0.0,0.11834288014849914,71397071.03984927,999106.7057158184,Low Probability,1.6738354133212583,,0.0,100,50.0,unga_alignment_score
ECU,Ecuador,UMC,124676074700.0,0.0,968200.5214882987,968200.5214882987,0.0,0.08770716581282201,76674471.4753335,968200.5214882987,Low Probability,1.8162735897391733,,0.0,100,50.0,unga_alignment_score
PAN,Panama,HIC,86523959131.7472,0.0,951815.1438167525,951815.1438167525,0.0,0.12424219412682025,60087738.297425695,951815.1438167525,Low Probability,1.6498452339039733,,0.0,100,50.0,unga_alignment_score
NGA,Nigeria,LMC,252261880141.151,0.0,921867.5720523787,921867.5720523787,0.0,0.04127335716400507,95325091.13645619,921867.5720523787,Low Probability,2.1416647619597775,,0.0,100,50.0,unga_alignment_score
URY,Uruguay,HIC,80961511073.5797,0.0,856632.8157771804,856632.8157771804,0.0,0.11950029781444904,55983068.40682942,856632.8157771804,Low Probability,1.6690562218531035,,0.0,100,50.0,unga_alignment_score
BLR,Belarus,UMC,75961865471.9129,0.0,790377.1322895779,790377.1322895779,0.0,0.11751454692187274,59636773.70956297,790377.1322895779,Low Probability,1.6772782430075044,,0.0,0,0.0,unga_alignment_score
GTM,Guatemala,UMC,113199581158.203,0.0,777497.5111308207,777497.5111308207,0.0,0.07757237230130754,65573504.62552176,777497.5111308207,Low Probability,1.8722549881616422,,0.0,100,50.0,unga_alignment_score
UZB,Uzbekistan,LMC,114965293466.611,0.0,769905.6159686145,769905.6159686145,0.0,0.07563514101044219,62756057.21120569,769905.6159686145,Low Probability,1.883625839642842,,0.0,0,0.0,unga_alignment_score
AZE,Azerbaijan,UMC,74315882352.9412,0.0,667179.8017700341,667179.8017700341,0.0,0.10139443909181928,73643508.9095093,667179.8017700341,Low Probability,1.7484179406216411,,0.0,100,50.0,unga_alignment_score
